winning_seat,loser_death_description,halfturns_played,milliseconds_passed,seat_0_lands,seat_0_board_size,seat_0_hand_size,seat_1_lands,seat_1_board_size,seat_1_hand_size
0,DeathDescription.LIFETOTAL,10,27.520418167114258,6,6,0,5,4,3
0,DeathDescription.LIFETOTAL,10,23.61893653869629,5,6,1,4,3,5
1,DeathDescription.LIFETOTAL,11,23.456811904907227,6,4,2,4,5,4
0,DeathDescription.LIFETOTAL,12,39.96419906616211,7,5,1,6,4,3
1,DeathDescription.LIFETOTAL,11,53.04455757141113,2,0,7,6,5,2
1,DeathDescription.LIFETOTAL,13,51.232337951660156,4,2,5,6,6,2
1,DeathDescription.LIFETOTAL,11,34.003257751464844,5,3,4,6,6,1
1,DeathDescription.LIFETOTAL,11,25.05970001220703,6,5,1,6,6,1
0,DeathDescription.LIFETOTAL,10,27.148962020874023,6,4,2,4,4,4
0,DeathDescription.LIFETOTAL,10,29.719829559326172,5,5,2,5,3,4
1,DeathDescription.LIFETOTAL,11,23.62370491027832,6,1,5,6,4,3
1,DeathDescription.LIFETOTAL,11,29.656410217285156,5,5,2,5,5,3
1,DeathDescription.LIFETOTAL,11,27.673006057739258,3,4,5,6,5,2
1,DeathDescription.LIFETOTAL,11,32.81879425048828,4,4,4,4,5,4
1,DeathDescription.LIFETOTAL,11,36.46993637084961,4,0,7,4,5,4
0,DeathDescription.LIFETOTAL,12,38.87176513671875,5,6,2,5,4,4
0,DeathDescription.LIFETOTAL,10,42.45352745056152,6,4,2,5,2,5
0,DeathDescription.LIFETOTAL,10,33.696889877319336,6,5,1,4,0,7
0,DeathDescription.LIFETOTAL,10,27.9233455657959,6,5,1,5,4,3
0,DeathDescription.LIFETOTAL,12,29.14738655090332,5,6,2,6,4,3
0,DeathDescription.LIFETOTAL,10,33.67042541503906,4,5,3,5,4,3
1,DeathDescription.LIFETOTAL,11,44.50273513793945,5,0,7,6,6,1
0,DeathDescription.LIFETOTAL,10,36.53216361999512,5,5,2,5,2,5
0,DeathDescription.LIFETOTAL,10,25.93517303466797,6,4,2,5,4,3
1,DeathDescription.LIFETOTAL,11,31.732797622680664,6,4,2,6,5,2
0,DeathDescription.LIFETOTAL,10,39.88218307495117,6,5,1,5,2,5
1,DeathDescription.LIFETOTAL,13,40.270090103149414,5,4,4,4,5,5
1,DeathDescription.LIFETOTAL,11,26.8247127532959,4,4,4,4,5,4
0,DeathDescription.LIFETOTAL,10,21.219253540039062,5,6,1,4,3,5
0,DeathDescription.LIFETOTAL,12,48.31647872924805,7,5,1,6,3,4
0,DeathDescription.LIFETOTAL,10,26.373624801635742,5,6,1,4,4,4
0,DeathDescription.LIFETOTAL,10,25.908946990966797,5,5,2,3,3,5
1,DeathDescription.LIFETOTAL,11,25.21347999572754,6,4,2,6,5,2
0,DeathDescription.LIFETOTAL,10,35.91012954711914,6,6,0,4,4,4
0,DeathDescription.LIFETOTAL,12,31.792640686035156,7,4,2,5,5,3
0,DeathDescription.LIFETOTAL,10,28.92780303955078,6,4,2,5,3,4
1,DeathDescription.LIFETOTAL,13,33.50210189819336,3,1,6,6,6,2
1,DeathDescription.LIFETOTAL,13,39.54339027404785,4,0,7,3,5,6
1,DeathDescription.LIFETOTAL,13,33.109188079833984,5,0,7,7,5,2
0,DeathDescription.LIFETOTAL,14,34.87730026245117,6,5,3,5,2,5
